Completed,Worker_Used,Compartment,Country
1,,6,Japan
1,85.0,5,Germany
1,99.0,5,Germany
1,,8,USA
0,97.0,7,Germany
0,,7,India
0,76.0,10,USA
1,68.0,6,Germany
1,,9,India
1,,10,India
0,58.0,9,Japan
1,87.0,8,USA
1,66.0,9,Germany
0,68.0,6,Japan
0,93.0,8,Brazil
0,,7,Germany
1,97.0,9,Japan
1,60.0,6,Brazil
1,71.0,6,Japan
0,53.0,7,USA
1,66.0,6,India
0,57.0,8,India
0,95.0,8,Japan
1,83.0,10,Brazil
1,60.0,5,Japan
1,80.0,7,India
0,,6,Brazil
1,87.0,9,Japan
1,70.0,10,Japan
0,,8,Japan
1,79.0,7,India
0,59.0,7,India
0,75.0,8,Germany
1,76.0,5,India
1,57.0,7,India
1,,6,India
1,57.0,9,India
0,57.0,9,Germany
1,83.0,8,USA
1,,7,India
0,,9,Brazil
1,62.0,7,USA
0,,8,Japan
1,61.0,5,India
0,76.0,9,India
1,71.0,6,Japan
1,81.0,10,Germany
1,98.0,8,India
1,76.0,10,India
0,51.0,5,India
1,94.0,6,India
1,82.0,10,USA
1,75.0,6,Brazil
1,77.0,9,India
1,68.0,7,Japan
1,92.0,8,Brazil
0,54.0,6,Brazil
0,82.0,9,India
0,,5,Japan
1,79.0,6,Japan
1,94.0,5,USA
0,57.0,8,USA
1,87.0,9,Japan
1,,5,Japan
0,93.0,7,USA
1,,10,Brazil
0,52.0,5,Japan
1,95.0,5,Japan
0,75.0,9,USA
1,80.0,9,Germany
1,57.0,6,Brazil
0,92.0,10,USA
0,95.0,5,Japan
1,57.0,5,Japan
1,84.0,9,Japan
1,88.0,7,Japan
1,77.0,9,Germany
0,,7,USA
1,,10,Japan
0,65.0,9,India
1,62.0,10,USA
1,,8,USA
1,100.0,5,Germany
0,54.0,10,India
1,86.0,7,USA
1,69.0,8,Germany
1,73.0,7,India
1,85.0,6,USA
1,83.0,6,Japan
1,94.0,5,USA
0,97.0,8,Brazil
1,,8,USA
1,68.0,6,USA
1,66.0,5,Brazil
1,54.0,10,USA
1,74.0,6,Japan
1,67.0,8,USA
